TransactionID,TransactionAmount,TransactionDate,TransactionType,Location,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Bin,Target
TX000001,0.007207441957422414,2023-04-11 16:29:14,Debit,San Diego,M015,ATM,0.8387096774193548,Doctor,0.24482758620689654,0.0,1292,2024-11-04 08:08:08,1,0
TX000002,0.1959402767282487,2023-06-27 16:44:19,Debit,Houston,M052,ATM,0.8064516129032258,Doctor,0.45172413793103444,0.0,2413,2024-11-04 08:09:35,0,4
TX000003,0.0656799645621075,2023-07-10 18:16:08,Debit,Mesa,M009,Online,0.016129032258064557,Student,0.1586206896551724,0.0,448,2024-11-04 08:07:04,2,5
TX000004,0.0960158428225239,2023-05-05 16:32:11,Debit,Raleigh,M002,Online,0.12903225806451613,Student,0.05172413793103449,0.0,2001,2024-11-04 08:09:06,2,5
TX000006,0.04788805795137713,2023-04-03 17:15:01,Debit,Oklahoma City,M054,ATM,0.0,Student,0.5586206896551724,0.0,279,2024-11-04 08:06:36,1,2
TX000007,0.003554212158323996,2023-02-15 16:36:48,Credit,Seattle,M019,ATM,0.30645161290322587,Doctor,0.44482758620689655,0.0,2377,2024-11-04 08:10:09,1,2
TX000008,0.08919925997342157,2023-05-08 17:47:59,Credit,Indianapolis,M020,Branch,0.7903225806451613,Retired,0.9689655172413792,0.0,957,2024-11-04 08:10:55,2,3
TX000009,0.05522578627823957,2023-03-21 16:59:46,Credit,Detroit,M035,Branch,0.532258064516129,Engineer,0.26206896551724135,0.0,2070,2024-11-04 08:11:14,1,0
TX000010,0.4250983662089272,2023-03-31 16:06:57,Debit,Nashville,M007,ATM,0.5967741935483871,Doctor,0.3793103448275862,0.0,392,2024-11-04 08:06:32,0,4
TX000011,0.009130468770357246,2023-03-14 16:46:10,Credit,Albuquerque,M073,Online,0.5483870967741935,Engineer,0.16896551724137931,0.0,1845,2024-11-04 08:06:45,1,0
TX000012,0.09889256585975975,2023-02-06 17:30:00,Debit,Memphis,M030,Online,0.04838709677419356,Student,0.5620689655172414,0.0,632,2024-11-04 08:07:12,2,2
TX000013,0.2575813638377153,2023-06-07 17:21:28,Credit,Mesa,M057,Branch,0.09677419354838712,Student,0.3482758620689655,0.0,670,2024-11-04 08:08:38,0,1
TX000014,0.40727519086953123,2023-11-20 16:39:15,Debit,Memphis,M025,ATM,0.12903225806451613,Student,0.3896551724137931,0.0,34,2024-11-04 08:07:06,0,1
TX000015,0.08689058550694426,2023-02-13 16:53:57,Debit,Louisville,M017,Online,0.0,Student,0.4275862068965517,0.0,83,2024-11-04 08:10:09,2,2
TX000016,0.2424316647992287,2023-12-12 16:23:31,Debit,Denver,M025,ATM,0.29032258064516125,Engineer,0.4103448275862069,0.0,1042,2024-11-04 08:12:19,0,1
TX000017,0.2895171587148552,2023-10-30 16:52:49,Credit,Austin,M048,Branch,0.016129032258064557,Student,0.5103448275862069,0.0,456,2024-11-04 08:07:35,0,2
TX000018,0.2567527425280767,2023-12-14 18:32:14,Debit,Columbus,M059,Online,0.33870967741935487,Engineer,0.7724137931034483,0.0,1291,2024-11-04 08:11:51,0,2
TX000019,0.00959949970034135,2023-02-21 16:56:50,Credit,Albuquerque,M054,Branch,0.6612903225806451,Retired,0.3310344827586207,0.0,1917,2024-11-04 08:12:01,1,4
TX000020,0.037115980926075515,2023-06-08 18:18:50,Credit,Columbus,M039,Online,0.0,Student,0.5482758620689655,0.0,1612,2024-11-04 08:09:20,1,2
TX000021,0.030778851916512494,2023-02-28 16:36:58,Debit,Los Angeles,M040,Branch,0.8548387096774193,Retired,0.09655172413793102,0.0,1425,2024-11-04 08:09:24,1,0
TX000022,0.04456314980326758,2023-08-11 18:31:31,Debit,Las Vegas,M065,Branch,0.32258064516129037,Doctor,0.2862068965517241,0.0,2076,2024-11-04 08:08:13,1,5
TX000023,0.027068296114860464,2023-06-06 18:54:15,Debit,Atlanta,M022,Online,0.33870967741935487,Engineer,0.3793103448275862,0.0,2051,2024-11-04 08:07:01,1,5
TX000024,0.18009745420434112,2023-05-02 18:25:46,Debit,Fort Worth,M083,Online,0.06451612903225812,Student,0.4551724137931034,0.5,576,2024-11-04 08:07:04,0,6
TX000025,0.07571201500898975,2023-03-02 16:43:56,Debit,Raleigh,M028,Online,0.04838709677419356,Student,0.296551724137931,0.0,790,2024-11-04 08:07:09,2,5
